game,move,expl_rate
0,1,0.8703703703703703
0,3,0.9047619047619049
0,5,1.0
0,7,0.7307692307692307
0,9,0.625
0,11,0.77
1,0,0.798148148148148
1,2,1.0
1,4,0.8333333333333334
1,6,0.680952380952381
1,8,0.66875
1,10,0.5797101449275363
2,1,1.0
2,3,0.7623792270531401
2,5,1.0
2,7,0.8833333333333332
2,9,0.6666666666666666
2,11,0.7604166666666667
2,13,0.8142857142857143
2,15,0.8333333333333334
2,17,0.5366300366300366
2,19,0.6506666666666666
2,21,0.6638888888888889
2,23,0.7037037037037037
2,25,0.7598039215686275
2,27,0.7033333333333334
3,1,1.0
3,3,0.8105158730158731
3,5,0.7083333333333333
3,7,0.6833333333333333
3,9,0.7638888888888888
4,0,0.7522522522522522
4,2,0.7407407407407407
4,4,0.6166666666666666
4,6,0.8
4,8,0.5517241379310345
4,10,0.5746212121212121
4,12,0.5046839826839826
4,14,0.5218426501035197
4,16,0.6452991452991453
5,0,0.8277777777777777
5,2,0.9166666666666666
5,4,0.9166666666666666
5,6,0.9272727272727272
5,8,0.625
5,10,0.48863636363636365
5,12,0.5176470588235293
5,14,0.5633333333333332
5,16,0.40476190476190477
5,18,0.5474358974358974
5,20,0.7375
5,22,0.7205882352941176
5,24,0.7424242424242425
6,1,0.8474999999999999
6,3,0.7758503401360544
6,5,0.8541666666666667
6,7,0.8863636363636364
6,9,0.7777777777777778
7,0,1.0
7,2,0.6971321271321269
7,4,0.8333333333333334
7,6,0.7321428571428572
7,8,0.9333333333333332
7,10,0.6916218637992833
7,12,0.603136446886447
8,0,0.9444444444444444
8,2,1.0
8,4,0.9166666666666666
8,6,0.8250000000000001
8,8,0.875
9,0,1.0
9,2,1.0
9,4,0.7407407407407408
9,6,0.6856209150326796
9,8,0.5346014492753622
9,10,0.5915178571428571
9,12,0.6587912087912087
9,14,0.6577380952380952
9,16,0.8333333333333334
10,0,1.0
10,2,1.0
10,4,1.0
10,6,0.8066666666666665
10,8,0.7001188354129532
10,10,0.6026936026936027
10,12,0.6969696969696969
10,14,0.6428571428571428
10,16,0.49107142857142855
11,1,0.8703703703703703
11,3,1.0
11,5,0.7901785714285714
11,7,0.7727272727272727
11,9,0.8636363636363636
11,11,0.7592592592592593
12,1,0.7760416666666666
12,3,0.7756410256410255
12,5,0.6382716049382716
12,7,0.6541666666666666
12,9,1.0
12,11,0.7885416666666667
12,13,0.7333333333333333
12,15,0.7731481481481481
13,0,0.7145833333333335
13,2,0.7604166666666666
13,4,0.7333333333333333
13,6,0.8
13,8,0.7083333333333334
13,10,0.95
14,0,1.0
14,2,1.0
14,4,1.0
14,6,0.682936507936508
14,8,0.6044444444444445
15,0,1.0
15,2,0.8
15,4,0.6524216524216525
15,6,0.6444444444444444
15,8,0.6162757437070937
15,10,1.0
15,12,0.75
15,14,0.75
15,16,0.8062499999999999
15,18,0.7037037037037037
16,0,0.9166666666666666
16,2,0.8333333333333333
16,4,0.8333333333333334
16,6,1.0
16,8,0.759090909090909
16,10,0.8166666666666668
16,12,0.8699999999999999
17,1,1.0
17,3,1.0
17,5,1.0
17,7,0.7761904761904762
17,9,0.6270833333333333
18,0,1.0
18,2,1.0
18,4,0.5906583398386678
18,6,0.6476190476190475
18,8,0.49868421052631584
18,10,0.4166666666666668
18,12,1.0
19,1,0.9259259259259258
19,3,0.888888888888889
19,5,0.8857142857142858
19,7,0.7250000000000001
19,9,0.8125
19,11,0.6133333333333333
19,13,0.7461538461538461
19,15,0.9038461538461539
