game,move,mean,median,max
0,1,10.287234042553191,11.0,15
0,3,10.087301587301587,11.0,13
0,5,5.15934065934066,5.0,9
0,7,5.114754098360656,5.0,9
0,9,5.346590909090909,6.0,8
0,11,3.9794520547945207,4.0,6
0,13,1.916279069767442,2.0,3
1,1,9.614035087719298,10.0,14
1,3,7.094202898550725,7.0,12
1,5,5.419354838709677,6.0,9
1,7,6.722513089005235,6.0,11
1,9,4.860576923076923,5.0,7
1,11,5.395604395604396,6.0,8
1,13,2.81859410430839,3.0,4
1,15,2.6806083650190113,3.0,4
1,17,2.8466051969823973,3.0,3
1,19,2.672244094488189,3.0,3
1,21,2.7861936720997122,3.0,3
1,23,2.8230452674897117,3.0,3
2,1,10.339805825242719,11.0,16
2,3,7.190184049079755,8.0,10
2,5,4.810344827586207,5.0,6
2,7,6.809815950920245,7.0,12
2,9,5.093023255813954,5.0,6
3,0,9.555555555555555,10.0,15
3,2,11.59375,14.0,16
3,4,8.226190476190476,9.0,11
3,6,6.2018779342723,7.0,9
3,8,2.0,2.0,4
4,0,8.182539682539682,8.0,14
4,2,8.330708661417322,9.0,13
4,4,5.565789473684211,6.0,8
4,6,4.976525821596244,5.0,10
4,8,3.763934426229508,4.0,7
4,10,3.4688427299703264,4.0,6
4,12,4.006389776357827,4.0,6
4,14,4.148837209302326,4.0,6
5,1,11.277777777777779,12.0,14
5,3,6.601694915254237,7.0,8
5,5,5.1909090909090905,6.0,9
5,7,5.776595744680851,7.0,9
5,9,5.1875,5.0,7
5,11,3.7865853658536586,4.0,5
6,1,9.243697478991596,10.0,13
6,3,6.81437125748503,7.0,11
6,5,3.979020979020979,4.0,7
6,7,7.025477707006369,7.0,11
6,9,5.7631578947368425,6.0,8
7,1,9.45945945945946,10.0,12
7,3,6.26984126984127,7.0,9
7,5,4.995951417004049,6.0,7
7,7,6.121546961325967,7.0,10
7,9,4.885496183206107,5.0,6
8,1,10.661290322580646,11.0,16
8,3,6.3164556962025316,6.0,10
8,5,3.9647058823529413,4.0,6
8,7,3.874617737003058,4.0,7
8,9,2.9339080459770117,3.0,5
8,11,2.7748618784530388,3.0,3
8,13,4.208425720620842,5.0,5
9,0,10.989473684210527,12.0,15
9,2,8.258064516129032,9.0,12
9,4,5.165178571428571,6.0,8
9,6,4.52755905511811,5.0,7
9,8,5.666666666666667,7.0,9
9,10,3.4241486068111455,4.0,5
9,12,3.212918660287081,3.0,4
9,14,4.891228070175439,5.0,7
9,16,3.8554421768707483,5.0,5
10,0,10.147368421052631,11.0,16
10,2,11.0,12.0,15
10,4,6.968152866242038,7.0,11
10,6,5.304123711340206,5.0,10
10,8,6.220858895705521,6.0,11
10,10,5.013477088948787,6.0,6
10,12,3.165714285714286,3.0,4
10,14,2.0319148936170213,2.0,3
11,1,10.728155339805825,11.0,15
11,3,7.1103896103896105,8.0,10
11,5,5.176724137931035,5.0,9
11,7,4.04089219330855,5.0,6
11,9,2.914141414141414,3.0,5
11,11,2.943289224952741,3.0,4
11,13,4.534391534391534,5.0,6
11,15,4.476190476190476,5.0,5
11,17,2.826379542395693,3.0,3
11,19,1.916279069767442,2.0,3
12,1,10.958333333333334,11.0,17
12,3,7.357142857142857,7.0,13
12,5,5.881656804733728,6.0,11
12,7,6.524271844660194,7.0,10
13,1,8.747899159663865,10.0,12
13,3,6.4010989010989015,7.0,9
13,5,5.21875,6.0,10
13,7,6.0855614973262036,6.0,9
13,9,5.687203791469194,6.0,11
13,11,3.757042253521127,4.0,6
13,13,3.4552058111380144,4.0,5
13,15,3.1878914405010437,3.0,4
14,0,8.208860759493671,9.0,12
14,2,6.674698795180723,7.0,10
14,4,5.2465753424657535,6.0,8
14,6,4.579136690647482,5.0,7
14,8,3.3356401384083045,3.0,6
14,10,3.3620178041543025,3.0,6
14,12,3.105769230769231,3.0,5
14,14,5.298561151079137,5.0,7
15,1,11.171875,12.0,14
15,3,7.634146341463414,8.0,11
15,5,4.678899082568807,5.0,7
15,7,6.935960591133005,7.0,11
15,9,4.741463414634146,5.0,8
15,11,2.8544303797468356,3.0,4
15,13,2.7857142857142856,3.0,4
15,15,2.9671772428884027,3.0,4
16,0,10.72,12.0,15
16,2,12.255813953488373,13.0,16
16,4,7.47741935483871,8.0,11
16,6,6.154545454545454,6.0,10
16,8,6.401162790697675,7.0,10
16,10,5.136186770428016,6.0,7
16,12,4.515527950310559,5.0,6
16,14,5.573705179282869,6.0,7
17,0,10.431192660550458,11.0,14
17,2,7.557823129251701,8.0,11
17,4,5.258536585365854,6.0,8
17,6,5.379746835443038,6.0,8
17,8,4.01948051948052,4.0,6
17,10,3.390728476821192,4.0,4
17,12,3.2394736842105263,3.0,5
17,14,2.4186046511627906,2.0,5
18,1,9.396946564885496,10.0,12
18,3,6.0,6.0,9
18,5,4.099206349206349,4.0,7
18,7,4.665094339622642,5.0,7
18,9,4.249322493224932,5.0,5
19,0,8.475862068965517,10.0,13
19,2,8.027027027027026,8.0,11
19,4,5.048672566371682,5.0,8
19,6,4.909502262443439,5.0,8
19,8,4.765873015873016,5.0,6
19,10,3.0662460567823344,3.0,6
19,12,2.801169590643275,3.0,4
20,1,9.232142857142858,10.0,12
20,3,7.204968944099379,8.0,11
20,5,4.582644628099174,5.0,6
20,7,5.734375,6.0,8
20,9,3.969171483622351,5.0,5
21,1,8.17361111111111,8.0,11
21,3,6.51207729468599,6.0,10
21,5,4.669491525423729,5.0,7
21,7,4.725274725274725,5.0,6
21,9,3.569105691056911,4.0,4
22,0,9.722689075630251,10.0,14
22,2,8.2015503875969,9.0,12
22,4,5.2043478260869565,5.0,8
22,6,6.258928571428571,6.0,10
22,8,4.466237942122186,4.0,7
22,10,3.1083123425692696,3.0,4
23,0,10.6,11.0,17
23,2,10.027777777777779,11.0,12
23,4,5.627218934911243,6.0,10
23,6,4.592760180995475,5.0,10
23,8,3.2492668621700878,3.0,6
23,10,3.319502074688797,3.0,4
23,12,3.5067437379576107,4.0,4
24,0,6.659574468085107,7.0,10
24,2,6.30890052356021,7.0,9
24,4,4.8068669527897,5.0,7
24,6,3.5421166306695464,4.0,5
24,8,3.698170731707317,4.0,6
24,10,3.6221498371335503,4.0,6
25,0,10.476635514018692,11.0,14
25,2,10.184873949579831,11.0,13
25,4,5.540106951871658,6.0,10
25,6,4.860986547085202,5.0,7
25,8,3.4551282051282053,3.0,6
25,10,2.238532110091743,2.0,3
26,0,8.722689075630251,9.0,13
26,2,7.923664122137405,9.0,11
26,4,5.093596059113301,5.0,10
26,6,6.625730994152047,7.0,12
26,8,7.676470588235294,9.0,10
26,10,5.509695290858725,6.0,8
26,12,3.4837310195227764,4.0,4
27,1,10.288461538461538,11.0,15
27,3,7.607407407407408,7.0,12
27,5,3.8545454545454545,4.0,7
27,7,4.6239316239316235,5.0,7
28,0,10.26605504587156,10.0,14
28,2,6.934640522875817,7.0,11
28,4,4.9375,5.0,8
28,6,5.116379310344827,5.0,9
28,8,5.4236453201970445,6.0,8
28,10,5.224032586558045,6.0,6
28,12,5.815450643776824,7.0,8
28,14,2.7767441860465114,3.0,4
29,0,9.366071428571429,10.0,13
29,2,8.753968253968255,9.0,13
29,4,5.415300546448087,6.0,9
29,6,5.287610619469026,5.5,10
29,8,3.127320954907162,3.0,5
29,10,3.1695238095238096,3.0,4
29,12,2.8893058161350846,3.0,4
29,14,2.9871244635193133,3.0,4
29,16,1.853932584269663,2.0,2
