game,move,expl_rate
0,0,0.9217730496453899
0,2,0.9253580729166664
0,4,0.9312401883830455
0,6,0.8902717127607961
0,8,0.8454055321143926
0,10,0.6801587301587303
1,0,0.9200913242009131
1,2,0.9277986633249793
1,4,0.9203677172874883
1,6,0.9331640538750274
1,8,0.8898982558139533
1,10,0.6565359477124183
2,1,0.9176218708827402
2,3,0.902312252964427
2,5,0.8837693798449612
2,7,0.8558259587020649
2,9,0.8954029511918278
3,0,0.9366228070175435
3,2,0.9348422496570644
3,4,0.9245705850778312
3,6,0.9065486228218099
3,8,0.9059180576631266
3,10,0.7916666666666664
4,1,0.9303728070175439
4,3,0.9188017845761632
4,5,0.8823491490458997
4,7,0.872430134844637
4,9,0.7746742671009768
4,11,0.6404109589041096
5,1,0.9510810810810809
5,3,0.947146962233169
5,5,0.9292316580011554
5,7,0.9182926829268293
5,9,0.837766830870279
5,11,0.7318718696269714
6,0,0.9514546965918537
6,2,0.9663333333333332
6,4,0.9408212560386472
6,6,0.9311999999999999
6,8,0.9193168433451122
6,10,0.9895833333333334
6,12,0.6666666666666665
6,14,0.6916666666666667
7,1,0.9247490662931839
7,3,0.9412509038322486
7,5,0.9522699004975125
7,7,0.9113112052730697
7,9,0.9525396825396826
8,0,0.9406906906906903
8,2,0.9514519056261339
8,4,0.8684439378588311
8,6,0.8615533043897735
8,8,0.8201787198669999
8,10,0.8671195652173912
9,1,0.9312770562770563
9,3,0.9247761194029847
9,5,0.945860099928622
9,7,0.9239009460211467
9,9,0.905570060922542
