game,move,mean,median,max
0,1,20.880073800738007,22.0,25
0,3,16.136752136752136,17.0,22
0,5,12.33779264214047,13.0,17
0,7,11.202046035805626,12.0,14
0,9,8.759358288770054,9.0,12
0,11,6.595033428844317,7.0,9
0,13,6.168534289556253,6.0,9
0,15,2.0437956204379564,2.0,3
0,17,5.615671641791045,6.0,8
1,0,11.615384615384615,12.0,18
1,2,10.737262737262737,11.0,20
1,4,12.582619339045287,13.0,21
1,6,12.96434634974533,14.0,19
1,8,7.482954545454546,7.0,11
1,10,2.6315789473684212,3.0,4
1,12,2.1875,2.0,3
2,0,16.98358208955224,17.0,20
2,2,14.571619812583668,15.0,21
2,4,10.845057880676759,11.0,15
2,6,10.203499079189687,11.0,14
2,8,10.633726201269265,10.0,14
2,10,7.356004901960785,7.0,11
2,12,7.313941825476429,7.0,9
2,14,6.692886061307114,7.0,10
2,16,6.4981884057971016,7.0,10
2,18,5.218068535825545,6.0,7
2,20,1.8833333333333333,2.0,3
3,1,13.78239608801956,14.0,19
3,3,11.102687140115163,12.0,16
3,5,10.741555380989787,11.0,15
3,7,8.66405693950178,9.0,12
3,9,7.512516469038208,8.0,12
3,11,8.40389447236181,9.0,11
3,13,7.245658835546476,7.0,10
3,15,6.789366053169734,7.0,10
3,17,6.9467948717948715,7.0,10
3,19,3.2,3.0,5
3,21,3.2550335570469797,3.0,5
3,23,2.9555555555555557,3.0,4
3,25,2.0256410256410255,2.0,3
3,27,8.15028901734104,9.0,10
3,29,2.076923076923077,2.0,3
3,31,7.036101083032491,8.0,9
3,33,2.096774193548387,2.0,3
4,0,13.568965517241379,14.0,21
4,2,16.25891472868217,17.0,25
4,4,16.940988835725676,17.0,23
4,6,13.269461077844312,14.0,18
4,8,10.227471566054243,11.0,15
4,10,7.262675296655879,8.0,10
4,12,8.896214896214897,10.0,11
4,14,2.4910714285714284,3.0,3
5,1,13.501219512195123,14.0,19
5,3,11.085128205128205,11.0,19
5,5,10.905527638190955,11.0,18
5,7,11.03484995159729,12.0,15
5,9,8.83535660091047,9.0,13
5,11,2.6666666666666665,3.0,4
5,13,2.7333333333333334,3.0,4
5,15,2.0217391304347827,2.0,3
5,17,8.079219288174512,9.0,10
5,19,1.9649122807017543,2.0,3
5,21,1.8431372549019607,2.0,3
6,1,15.876651982378855,16.0,21
6,3,11.866883116883116,12.0,17
6,5,10.566633761105626,11.0,18
6,7,9.56234718826406,10.0,13
6,9,7.262824207492796,8.0,10
6,11,7.338527673293928,8.0,11
6,13,9.27231467473525,10.0,13
6,15,6.114087301587301,6.0,8
7,0,17.37592867756315,18.0,22
7,2,14.969776609724047,15.0,20
7,4,12.588039867109634,13.0,18
7,6,10.8454157782516,11.0,17
7,8,10.063909774436091,10.0,17
7,10,9.429718875502008,10.0,12
7,12,3.402061855670103,4.0,4
8,0,16.128550074738417,17.0,24
8,2,16.6525974025974,17.0,23
8,4,14.461928934010153,15.0,19
8,6,7.45,8.0,12
8,8,2.8292682926829267,3.0,4
9,0,19.009174311926607,21.0,30
9,2,20.3203125,21.0,29
9,4,18.006369426751593,18.0,24
9,6,12.186965811965813,13.0,17
9,8,10.118536197295148,11.0,14
9,10,8.069472277889112,8.0,12
9,12,2.71875,3.0,4
