game,move,num_playouts,mean_num_playouts_per_node
0,0,9,2.25
0,2,7,1.75
0,4,93,2.5135135135135136
0,6,176,3.259259259259259
0,8,66,2.64
0,10,116,1.7313432835820894
0,12,269,3.3625
0,14,248,3.220779220779221
0,16,106,1.962962962962963
0,18,91,2.2195121951219514
0,20,97,2.3658536585365852
1,0,329,10.28125
1,2,135,6.75
1,4,1229,9.171641791044776
1,6,41,3.1538461538461537
1,8,52,3.25
1,10,62,2.6956521739130435
1,12,90,2.25
1,14,124,2.2962962962962963
1,16,75,1.7045454545454546
1,18,73,1.0735294117647058
1,20,84,1.0120481927710843
1,22,70,1.7073170731707317
1,24,131,2.847826086956522
1,26,86,2.6875
1,28,121,3.4571428571428573
2,0,23,2.5555555555555554
2,2,25,2.7777777777777777
2,4,34,3.4
2,6,29,3.625
2,8,22,2.4444444444444446
3,0,5,1.6666666666666667
3,2,9,2.25
3,4,14,2.3333333333333335
3,6,14,2.3333333333333335
3,8,18,2.25
3,10,101,1.8363636363636364
3,12,137,2.044776119402985
3,14,99,1.8
3,16,190,1.5573770491803278
3,18,152,1.2258064516129032
3,20,181,1.3923076923076922
3,22,70,1.1864406779661016
4,0,9,2.25
4,2,9,2.25
4,4,9,1.8
4,6,97,3.88
4,8,206,3.7454545454545456
4,10,121,2.75
4,12,130,2.6530612244897958
4,14,102,2.04
4,16,94,1.9583333333333333
4,18,88,2.3157894736842106
4,20,105,2.9166666666666665
4,22,83,3.4583333333333335
4,24,68,3.090909090909091
5,0,11,2.2
5,2,45,2.6470588235294117
5,4,254,6.864864864864865
5,6,130,5.909090909090909
5,8,32,3.5555555555555554
5,10,40,2.857142857142857
5,12,37,2.642857142857143
5,14,33,2.5384615384615383
5,16,47,3.1333333333333333
5,18,45,3.2142857142857144
5,20,29,1.16
5,22,14,1.75
6,1,7,1.75
6,3,16,2.2857142857142856
6,5,128,4.413793103448276
6,7,70,2.8
6,9,51,2.04
6,11,86,2.2051282051282053
6,13,1041,7.27972027972028
6,15,38,1.3571428571428572
6,17,16,1.3333333333333333
7,0,9,2.25
7,2,23,2.5555555555555554
7,4,99,4.5
7,6,22,2.75
7,8,49,2.130434782608696
7,10,54,1.8620689655172413
7,12,99,2.152173913043478
7,14,32,1.4545454545454546
7,16,37,1.3703703703703705
7,18,44,1.8333333333333333
7,20,36,1.6363636363636365
8,0,5,1.6666666666666667
8,2,11,2.2
8,4,9,2.25
8,6,19,1.7272727272727273
8,8,25,1.7857142857142858
8,10,74,2.1142857142857143
8,12,34,1.5454545454545454
8,14,114,1.3411764705882352
8,16,117,1.6956521739130435
8,18,62,1.5897435897435896
9,0,5,1.6666666666666667
9,2,70,5.0
9,4,9,1.8
9,6,21,1.75
9,8,44,2.588235294117647
9,10,261,4.423728813559322
9,12,126,2.423076923076923
9,14,198,2.6052631578947367
9,16,104,1.7627118644067796
9,18,95,2.7142857142857144
9,20,109,2.8684210526315788
10,1,92,5.75
10,3,11,2.2
10,5,790,8.58695652173913
10,7,24,3.0
10,9,65,1.9696969696969697
10,11,140,3.888888888888889
10,13,55,2.5
10,15,69,2.15625
10,17,88,1.6603773584905661
10,19,48,1.8461538461538463
11,1,7,1.75
11,3,33,2.357142857142857
11,5,52,2.736842105263158
11,7,69,2.5555555555555554
11,9,13,2.1666666666666665
11,11,220,4.4
11,13,45,1.6071428571428572
11,15,73,2.433333333333333
11,17,80,2.5806451612903225
11,19,26,1.7333333333333334
12,1,11,2.2
12,3,51,3.642857142857143
12,5,40,4.0
12,7,254,6.35
12,9,48,3.2
12,11,54,3.176470588235294
12,13,72,2.769230769230769
12,15,91,2.757575757575758
12,17,156,2.736842105263158
12,19,128,3.282051282051282
12,21,79,2.6333333333333333
13,1,40,3.3333333333333335
13,3,669,9.695652173913043
13,5,39,2.7857142857142856
13,7,62,3.4444444444444446
13,9,72,2.4
13,11,143,3.0425531914893615
13,13,143,2.6
13,15,47,2.1363636363636362
14,0,5,1.6666666666666667
14,2,32,4.0
14,4,19,2.375
14,6,10,2.0
14,8,16,2.2857142857142856
14,10,128,3.0476190476190474
14,12,688,5.251908396946565
14,14,127,1.5119047619047619
14,16,64,1.7297297297297298
14,18,250,1.404494382022472
14,20,104,1.0612244897959184
14,22,32,1.5238095238095237
15,1,9,2.25
15,3,83,3.608695652173913
15,5,141,4.548387096774194
15,7,43,2.8666666666666667
15,9,160,3.902439024390244
15,11,68,2.0
15,13,83,2.515151515151515
15,15,191,3.0317460317460316
15,17,41,1.7826086956521738
15,19,47,2.764705882352941
15,21,16,1.6
16,0,11,2.2
16,2,11,2.2
16,4,5,1.6666666666666667
16,6,27,2.4545454545454546
16,8,26,2.888888888888889
16,10,39,1.7727272727272727
16,12,37,2.642857142857143
16,14,70,1.9444444444444444
16,16,42,1.4
16,18,28,1.5555555555555556
17,0,11,2.2
17,2,11,2.2
17,4,79,4.388888888888889
17,6,10,2.0
17,8,163,4.527777777777778
17,10,72,1.8461538461538463
17,12,40,2.3529411764705883
17,14,106,1.962962962962963
17,16,62,1.878787878787879
17,18,48,2.6666666666666665
18,0,23,2.5555555555555554
18,2,43,2.8666666666666667
18,4,22,2.4444444444444446
18,6,76,2.814814814814815
18,8,42,2.8
18,10,41,1.8636363636363635
18,12,70,3.3333333333333335
18,14,110,2.2
18,16,31,2.2142857142857144
18,18,54,2.076923076923077
18,20,34,1.5454545454545454
19,1,27,3.375
19,3,34,2.8333333333333335
19,5,21,2.1
19,7,211,5.275
19,9,51,2.8333333333333335
19,11,23,1.7692307692307692
19,13,503,6.209876543209877
19,15,77,3.347826086956522
19,17,83,2.515151515151515
19,19,102,2.7567567567567566
19,21,117,2.7209302325581395
20,0,90,4.7368421052631575
20,2,211,5.275
20,4,1042,9.738317757009346
20,6,36,2.4
20,8,18,2.25
20,10,32,2.1333333333333333
20,12,605,3.829113924050633
20,14,153,1.6451612903225807
20,16,64,1.3333333333333333
20,18,169,1.4955752212389382
20,20,84,1.5272727272727273
20,22,87,2.71875
20,24,73,1.7804878048780488
21,0,32,4.0
21,2,13,2.1666666666666665
21,4,34,3.090909090909091
21,6,35,2.6923076923076925
21,8,126,3.4054054054054053
21,10,64,2.909090909090909
21,12,70,2.6923076923076925
21,14,100,2.0408163265306123
21,16,89,1.8541666666666667
21,18,76,1.3818181818181818
21,20,76,1.3818181818181818
21,22,62,0.9253731343283582
21,24,89,1.7115384615384615
21,26,73,1.972972972972973
21,28,67,1.34
21,30,56,1.6
22,1,5,1.6666666666666667
22,3,67,3.9411764705882355
22,5,198,5.076923076923077
22,7,24,2.1818181818181817
22,9,150,4.054054054054054
22,11,69,2.76
22,13,70,2.9166666666666665
