Player1_strategy,Player1_wins,Player2_wins,Player2_strategy,mcts_time,mean_time_per_game
RANDOM,34,66,MCTS,1000,0 days 00:00:54.941660000
AGGRESSIVE,96,4,MCTS,1000,0 days 00:00:08.929003000
CONTROLLING,95,5,MCTS,1000,0 days 00:00:11.081760000
RANDOM,28,72,MCTS,500,0 days 00:00:17.582540000
AGGRESSIVE,97,3,MCTS,500,0 days 00:00:08.898567000
CONTROLLING,96,4,MCTS,500,0 days 00:00:11.115627000
RANDOM,31,69,MCTS,250,0 days 00:00:17.640450000
AGGRESSIVE,98,2,MCTS,250,0 days 00:00:07.893694000
CONTROLLING,96,4,MCTS,250,0 days 00:00:10.798711000
RANDOM,30,70,MCTS,100,0 days 00:00:16.349250000
