game,move,num_playouts,mean_num_playouts_per_node
0,0,1018,10.282828282828282
0,2,1014,11.266666666666667
0,4,1027,7.181818181818182
0,6,1051,6.610062893081761
0,8,1050,4.2682926829268295
0,10,1097,3.9178571428571427
0,12,232,3.5692307692307694
0,14,380,2.5165562913907285
1,1,1013,9.931372549019608
1,3,1031,7.20979020979021
1,5,1037,6.1
1,7,1085,5.117924528301887
1,9,1105,3.9323843416370106
1,11,1080,3.7630662020905925
1,13,1108,4.294573643410852
1,15,1145,3.2436260623229463
1,17,290,2.9896907216494846
1,19,1080,2.1386138613861387
2,0,1011,12.180722891566266
2,2,1023,9.932038834951456
2,4,1035,7.5
2,6,1052,6.011428571428572
2,8,1043,7.669117647058823
2,10,165,3.6666666666666665
2,12,308,3.347826086956522
2,14,174,2.9491525423728815
2,16,164,1.9523809523809523
2,18,230,2.6136363636363638
2,20,1083,1.5041666666666667
2,22,158,2.257142857142857
3,0,1001,13.0
3,2,1012,11.632183908045977
3,4,1017,9.778846153846153
3,6,1032,6.8344370860927155
3,8,1054,6.127906976744186
3,10,1085,3.466453674121406
3,12,1080,5.0
3,14,1113,3.685430463576159
3,16,1091,4.07089552238806
3,18,1246,4.296551724137931
3,20,104,3.0588235294117645
4,0,1005,10.691489361702128
4,2,1010,12.023809523809524
4,4,1017,9.162162162162161
4,6,1025,9.151785714285714
4,8,872,8.0
4,10,89,3.7083333333333335
4,12,170,3.6956521739130435
4,14,188,2.984126984126984
4,16,290,2.761904761904762
4,18,1162,3.3877551020408165
4,20,367,2.133720930232558
5,0,1014,10.787234042553191
5,2,1029,9.527777777777779
5,4,1043,5.762430939226519
5,6,1064,5.215686274509804
5,8,1060,5.07177033492823
5,10,1073,4.685589519650655
5,12,492,3.967741935483871
5,14,112,3.111111111111111
6,0,1035,9.672897196261681
6,2,1033,6.664516129032258
6,4,1043,6.7727272727272725
6,6,1042,6.2395209580838324
6,8,1042,5.663043478260869
6,10,1049,4.7681818181818185
6,12,1081,5.099056603773585
6,14,59,2.4583333333333335
7,1,1036,7.295774647887324
7,3,1049,6.244047619047619
7,5,1059,5.573684210526316
7,7,1088,4.514522821576763
7,9,1077,3.9306569343065694
7,11,1085,4.909502262443439
7,13,1082,3.501618122977346
7,15,264,3.6666666666666665
7,17,1125,4.061371841155235
7,19,240,3.1578947368421053
8,0,1047,9.265486725663717
8,2,1033,6.97972972972973
8,4,1046,6.011494252873563
8,6,1053,6.051724137931035
8,8,1067,4.521186440677966
8,10,1102,3.3700305810397553
8,12,1125,3.3382789317507418
8,14,1136,2.8188585607940446
8,16,1131,3.77
8,18,1188,3.678018575851393
8,20,330,2.519083969465649
9,1,1021,11.097826086956522
9,3,1022,9.290909090909091
9,5,1024,6.69281045751634
9,7,1034,6.343558282208589
9,9,1084,4.460905349794238
9,11,1124,4.162962962962963
9,13,1099,3.750853242320819
9,15,1075,4.071969696969697
9,17,1088,3.543973941368078
9,19,249,2.6774193548387095
10,0,1016,9.96078431372549
10,2,1019,9.435185185185185
10,4,1036,9.504587155963304
10,6,1041,5.338461538461538
10,8,1069,4.972093023255814
10,10,1051,5.255
10,12,1040,6.933333333333334
10,14,80,3.076923076923077
11,0,1021,7.562962962962963
11,2,1039,7.421428571428572
11,4,1039,5.870056497175141
11,6,1052,5.655913978494624
11,8,1041,6.848684210526316
11,10,275,4.230769230769231
11,12,11,1.8333333333333333
12,1,1032,9.381818181818181
12,3,1037,6.690322580645161
12,5,1045,6.333333333333333
12,7,1065,4.712389380530974
12,9,1083,4.438524590163935
12,11,1104,4.088888888888889
12,13,1200,2.542372881355932
13,0,1019,10.39795918367347
13,2,1015,9.144144144144144
13,4,1027,8.777777777777779
13,6,1054,5.888268156424581
13,8,1069,4.607758620689655
13,10,1072,5.178743961352657
13,12,918,3.809128630705394
13,14,505,2.6861702127659575
14,1,1019,10.292929292929292
14,3,1021,9.116071428571429
14,5,1025,8.134920634920634
14,7,1020,8.571428571428571
14,9,1035,6.720779220779221
14,11,1069,5.292079207920792
14,13,1072,3.8840579710144927
14,15,24,2.4
15,1,1015,11.534090909090908
15,3,1013,8.964601769911505
15,5,1030,6.602564102564102
15,7,1045,6.25748502994012
15,9,1066,4.780269058295964
15,11,1047,5.481675392670157
15,13,492,4.315789473684211
15,15,116,2.8292682926829267
15,17,1125,3.6644951140065145
15,19,1668,2.0267314702308625
16,0,1031,8.382113821138212
16,2,1044,7.25
16,4,1042,6.2023809523809526
16,6,1057,4.9392523364485985
16,8,1034,5.385416666666667
16,10,1071,4.616379310344827
16,12,145,3.2954545454545454
17,0,1031,9.372727272727273
17,2,1028,6.306748466257669
17,4,1039,5.586021505376344
17,6,1107,4.593360995850622
17,8,1115,3.766891891891892
17,10,1056,4.327868852459017
17,12,1087,5.079439252336448
17,14,1072,3.6587030716723548
17,16,1087,4.296442687747035
17,18,1219,4.2473867595818815
17,20,220,2.682926829268293
18,0,1021,11.344444444444445
18,2,1020,8.5
18,4,1037,7.201388888888889
18,6,1039,6.534591194968553
18,8,1063,5.97191011235955
18,10,1117,4.856521739130435
18,12,1088,1.6484848484848484
18,14,1148,4.144404332129964
18,16,1128,1.5842696629213484
18,18,932,3.6549019607843136
18,20,220,2.3655913978494625
19,1,1019,11.076086956521738
19,3,1029,8.10236220472441
19,5,1044,6.365853658536586
19,7,1039,5.646739130434782
19,9,1065,5.433673469387755
19,11,1098,4.239382239382239
19,13,1082,3.2395209580838324
19,15,1085,3.126801152737752
19,17,1075,3.359375
19,19,1109,2.926121372031662
19,21,184,3.066666666666667
20,1,1047,7.220689655172414
20,3,1047,6.798701298701299
20,5,1085,4.428571428571429
20,7,1070,5.35
20,9,1068,3.940959409594096
20,11,190,3.877551020408163
20,13,63,2.739130434782609
20,15,120,2.4489795918367347
20,17,1123,3.128133704735376
20,19,322,2.175675675675676
21,1,1022,12.617283950617283
21,3,1024,8.39344262295082
21,5,1035,7.610294117647059
21,7,1038,6.828947368421052
21,9,1054,6.546583850931677
21,11,1086,4.2421875
21,13,111,2.8461538461538463
22,1,1026,9.5
22,3,1029,7.402877697841727
22,5,1050,6.363636363636363
22,7,1054,6.311377245508982
22,9,1062,4.894009216589862
22,11,1071,5.05188679245283
22,13,1079,4.298804780876494
22,15,896,3.3811320754716983
23,1,1015,9.666666666666666
23,3,1039,6.880794701986755
23,5,1050,6.402439024390244
23,7,1059,5.515625
23,9,1065,4.064885496183206
23,11,1071,3.731707317073171
23,13,628,3.949685534591195
23,15,144,3.130434782608696
24,0,1010,10.520833333333334
24,2,1027,9.169642857142858
24,4,1033,8.007751937984496
24,6,1048,5.664864864864865
24,8,1062,3.2084592145015107
24,10,1085,3.005540166204986
