game,move,expl_rate
0,1,0.9876543209876543
0,3,0.9047619047619049
0,5,0.9393939393939394
0,7,0.9797297297297297
0,9,0.9313725490196079
0,11,1.0
0,13,0.9431818181818182
1,1,1.0
1,3,0.9733333333333333
1,5,0.95
1,7,0.9430894308943089
2,1,0.9210526315789473
2,3,0.984375
2,5,0.9833333333333333
2,7,0.8583333333333334
2,9,0.9744680851063829
3,1,0.9771428571428571
3,3,0.9821428571428571
3,5,0.869047619047619
3,7,0.7263888888888889
4,0,0.9637681159420289
4,2,0.9540229885057472
4,4,0.8924731182795698
4,6,1.0
4,8,0.84
4,10,0.8513513513513512
4,12,0.49571428571428544
5,1,0.9885057471264368
5,3,0.9821428571428571
5,5,0.8773333333333333
5,7,0.972972972972973
5,9,0.9116279069767441
5,11,0.984375
6,0,0.9691358024691357
6,2,0.9655172413793104
6,4,0.9753086419753088
6,6,0.9032258064516129
6,8,0.9574468085106383
6,10,0.4226190476190472
7,0,0.9838709677419355
7,2,0.9888888888888889
7,4,1.0
7,6,0.8999999999999998
7,8,0.9333333333333333
7,10,0.9305555555555557
8,0,0.99
8,2,0.9821428571428571
8,4,0.9833333333333333
8,6,0.9330357142857143
8,8,0.8585858585858585
8,10,0.9864864864864865
9,1,0.94
9,3,0.890625
9,5,0.8991228070175438
9,7,0.9256756756756757
9,9,0.6833333333333332
9,11,0.7666666666666668
10,1,0.9533333333333335
10,3,0.967741935483871
10,5,0.8861788617886178
10,7,1.0
11,1,1.0
11,3,0.9696969696969697
11,5,1.0
11,7,0.8725490196078429
11,9,0.9130434782608695
12,1,1.0
12,3,0.946969696969697
12,5,0.9054054054054054
12,7,0.9431818181818182
12,9,0.9746376811594203
13,0,0.9420289855072462
13,2,0.9464285714285714
13,4,0.8086419753086418
13,6,0.8418803418803418
13,8,0.9783333333333334
13,10,0.5367816091954024
14,0,0.9083333333333333
14,2,0.9509803921568626
14,4,0.9137931034482759
14,6,0.9259259259259258
14,8,0.9549549549549549
14,10,0.9418803418803419
14,12,0.6176470588235293
15,1,0.96
15,3,0.971264367816092
15,5,0.8857142857142857
15,7,0.9306122448979594
15,9,0.8074712643678162
15,11,0.6693548387096774
16,0,1.0
16,2,0.9696969696969697
16,4,0.9354838709677419
16,6,0.904040404040404
16,8,0.89
16,10,0.8729166666666668
17,0,0.984375
17,2,1.0
17,4,0.8538461538461538
17,6,0.9861111111111112
17,8,0.9007936507936507
