game,move,mean,median,max
0,0,9.990099009900991,10.0,13
0,2,7.6797385620915035,8.0,10
0,4,6.182795698924731,6.0,8
0,6,5.820359281437126,6.0,9
0,8,5.679802955665025,6.0,9
0,10,5.348017621145375,6.0,7
0,12,5.029045643153527,6.0,7
0,14,4.320143884892087,4.0,7
0,16,1.8928571428571428,2.0,3
0,18,3.6792452830188678,4.0,5
0,20,3.2142857142857144,4.0,5
1,0,9.57943925233645,10.0,17
1,2,8.581818181818182,9.0,13
1,4,7.3768115942028984,7.5,12
1,6,8.107142857142858,9.0,12
1,8,6.940540540540541,8.0,9
1,10,5.124481327800829,5.0,7
1,12,4.376306620209059,5.0,6
1,14,4.370967741935484,5.0,6
1,16,3.4388059701492537,3.0,5
2,1,8.301724137931034,9.0,13
2,3,7.5036496350364965,8.0,10
2,5,6.430232558139535,6.0,9
2,7,6.311827956989247,6.0,9
2,9,5.13135593220339,6.0,7
2,11,4.651724137931034,5.0,6
2,13,4.774074074074074,5.0,6
2,15,2.0,2.0,3
3,0,10.345794392523365,11.0,13
3,2,7.841269841269841,8.0,11
3,4,6.514792899408284,7.0,9
3,6,6.338541666666667,6.0,10
3,8,5.074468085106383,5.0,10
3,10,5.867579908675799,7.0,9
3,12,5.492592592592593,6.0,7
3,14,2.5625,3.0,4
3,16,2.1136363636363638,2.0,3
4,1,8.483870967741936,9.0,12
4,3,7.632,8.0,13
4,5,7.645669291338582,8.0,12
4,7,7.8471337579617835,8.0,11
4,9,5.849162011173185,6.0,10
4,11,5.534782608695652,6.0,7
4,13,4.6716981132075475,5.0,7
4,15,1.935483870967742,2.0,3
4,17,2.0727272727272728,2.0,3
4,19,4.152317880794702,4.0,6
4,21,3.9902912621359223,4.5,6
4,23,4.142857142857143,5.0,6
5,1,8.953488372093023,10.0,12
5,3,6.583333333333333,7.0,10
5,5,6.356687898089172,7.0,10
5,7,7.261111111111111,8.0,9
5,9,4.682926829268292,5.0,6
5,11,3.2111111111111112,3.0,5
6,0,11.032608695652174,11.5,17
6,2,9.125,10.0,14
6,4,7.8307692307692305,8.0,13
6,6,7.125874125874126,7.0,10
6,8,5.959595959595959,7.0,8
6,10,3.103448275862069,3.0,5
6,12,1.945945945945946,2.0,3
6,14,2.0,2.0,3
6,16,1.922077922077922,2.0,3
6,18,1.846774193548387,2.0,3
6,20,3.661290322580645,4.0,5
7,0,9.042857142857143,10.0,14
7,2,7.064285714285714,8.0,11
7,4,8.40625,9.0,12
7,6,6.515923566878981,6.0,12
7,8,5.808290155440415,6.0,9
7,10,4.085714285714285,4.0,7
7,12,2.877659574468085,3.0,5
7,14,1.7741935483870968,2.0,3
7,16,1.8837209302325582,2.0,3
7,18,4.598290598290598,5.0,6
7,20,1.8214285714285714,2.0,3
7,22,3.736842105263158,4.0,5
7,24,3.7301587301587302,4.0,5
8,0,11.23076923076923,11.0,16
8,2,9.008333333333333,10.0,14
8,4,6.7114093959731544,7.0,10
8,6,8.14765100671141,9.0,12
8,8,6.601226993865031,7.0,9
8,10,5.184210526315789,6.0,7
8,12,4.484496124031008,5.0,6
9,1,9.5,10.0,14
9,3,7.63013698630137,8.0,11
9,5,6.597402597402597,7.0,10
9,7,6.005847953216374,6.0,9
9,9,5.691891891891892,6.0,9
9,11,5.462264150943396,6.0,7
9,13,5.161616161616162,5.0,7
9,15,4.803921568627451,5.0,7
9,17,4.264957264957265,5.0,6
10,1,9.929292929292929,10.0,15
10,3,7.772357723577236,9.0,11
10,5,6.726666666666667,7.0,12
10,7,8.30232558139535,9.0,12
10,9,7.178571428571429,8.0,9
10,11,4.749003984063745,5.0,6
10,13,3.7012987012987013,4.0,5
11,1,8.938053097345133,10.0,13
11,3,7.22,8.0,11
11,5,7.753846153846154,8.0,11
11,7,6.410810810810811,7.0,9
11,9,5.533333333333333,6.0,9
11,11,4.4,5.0,7
11,13,3.745583038869258,4.0,6
12,1,12.068965517241379,13.0,19
