game,move,expl_rate
0,0,0.9914529914529916
0,2,0.9345238095238095
0,4,0.9478723404255318
0,6,0.9305555555555554
0,8,0.9300411522633745
0,10,0.9146341463414634
0,12,0.9269662921348313
0,14,1.0
1,1,0.9659090909090909
1,3,0.9618055555555555
1,5,0.9450757575757575
1,7,0.8833333333333334
1,9,0.8968553459119496
1,11,0.9623655913978494
1,13,1.0
1,15,1.0
1,17,0.8576923076923079
1,19,0.6833333333333332
2,1,0.9722222222222222
2,3,0.9764150943396226
2,5,0.9678362573099415
2,7,0.9182692307692307
2,9,0.9362139917695472
2,11,0.7952380952380951
2,13,0.9094650205761315
3,0,0.9321705426356588
3,2,0.9710884353741497
3,4,0.9267040149393091
3,6,0.9205128205128205
3,8,0.9567307692307693
3,10,0.8882113821138211
3,12,0.8814935064935066
3,14,0.8954545454545455
3,16,0.6117647058823529
4,1,0.9256756756756757
4,3,0.9372549019607842
4,5,0.9035639412997905
4,7,0.8944099378881989
4,9,0.827922077922078
4,11,0.861111111111111
4,13,0.7291666666666665
5,0,0.9444444444444445
5,2,0.9090909090909091
5,4,0.9404761904761906
5,6,0.8479532163742689
5,8,0.8121212121212122
5,10,0.75
5,12,0.9857142857142858
5,14,0.8749999999999998
6,1,0.9572649572649573
6,3,0.9064327485380117
6,5,0.955
6,7,0.933739837398374
6,9,1.0
6,11,0.9238765928906775
6,13,0.8265306122448978
6,15,0.9136842105263159
6,17,0.8537549407114623
6,19,0.8186046511627905
6,21,0.9594861660079053
6,23,0.778985507246377
7,1,0.9693877551020408
7,3,0.9174242424242425
7,5,0.916279069767442
7,7,0.9612244897959183
7,9,0.8779220779220779
7,11,0.9369047619047618
7,13,0.7901785714285717
7,15,0.8252032520325204
7,17,0.7142857142857143
7,19,0.9047619047619047
7,21,0.859903381642512
8,1,0.9439393939393941
8,3,0.896078431372549
8,5,0.9321428571428572
8,7,0.9603174603174603
8,9,0.9068627450980392
8,11,0.8981481481481483
8,13,1.0
9,0,0.9302325581395348
9,2,0.9261363636363636
9,4,0.9083333333333333
9,6,0.9732704402515724
9,8,0.8772435897435897
9,10,0.7931034482758622
9,12,0.9151515151515153
9,14,0.8076923076923077
9,16,0.9027777777777778
10,0,0.9652777777777778
10,2,0.8954407294832828
10,4,0.9124293785310734
10,6,0.9391975308641975
10,8,0.8923611111111112
10,10,0.9144654088050316
10,12,1.0
10,14,0.9097222222222222
10,16,0.8553345388788428
10,18,0.8419913419913417
11,0,0.9639639639639639
11,2,0.9539473684210527
11,4,0.9322916666666665
11,6,0.9404761904761906
11,8,0.7918367346938775
11,10,0.961111111111111
11,12,1.0
11,14,0.9771689497716892
11,16,0.9910714285714286
11,18,1.0
12,1,0.982456140350877
12,3,1.0
12,5,0.906060606060606
12,7,0.8745421245421243
12,9,0.8538587848932676
12,11,0.8140096618357487
12,13,0.8596153846153847
12,15,0.8222222222222223
12,17,0.8286270691333985
12,19,0.98
12,21,0.9901960784313725
12,23,0.8999999999999999
12,25,0.7307692307692307
12,27,0.8299999999999998
12,29,0.5911764705882352
