game,move,mean,median,max
0,1,8.147826086956522,8.0,13
0,3,9.015384615384615,10.0,12
0,5,6.86986301369863,7.0,11
0,7,8.1875,9.0,12
0,9,6.583892617449664,7.0,10
0,11,5.90650406504065,6.0,7
0,13,3.6605504587155964,4.0,5
1,1,7.926470588235294,8.0,12
1,3,7.262820512820513,8.0,10
1,5,6.507462686567164,7.0,10
1,7,5.802197802197802,6.0,7
1,9,4.938650306748467,6.0,7
1,11,4.016129032258065,4.0,5
2,1,8.482456140350877,9.0,13
2,3,7.874074074074074,8.0,13
2,5,6.644578313253012,7.0,11
2,7,7.319444444444445,7.0,13
2,9,7.885245901639344,9.0,10
2,11,2.0625,2.0,3
3,0,8.865546218487395,9.0,14
3,2,10.927083333333334,12.0,16
3,4,8.654545454545454,10.0,14
3,6,7.0,7.0,12
3,8,2.3,2.5,4
4,1,9.375,10.0,14
4,3,7.149068322981367,8.0,10
4,5,5.551724137931035,6.0,8
4,7,5.451923076923077,6.0,9
4,9,5.0423728813559325,6.0,8
4,11,4.682539682539683,5.0,6
4,13,5.2727272727272725,6.0,6
4,15,5.34280303030303,6.0,6
4,17,3.3566666666666665,4.0,4
5,1,12.033333333333333,13.0,18
5,3,10.673076923076923,12.0,14
5,5,6.251572327044025,6.0,10
5,7,6.068783068783069,6.0,9
5,9,5.089655172413793,6.0,6
5,11,3.708154506437768,4.0,5
5,13,4.654471544715447,5.0,6
5,15,2.0377358490566038,2.0,3
6,0,10.93939393939394,12.0,16
6,2,9.0,9.0,14
6,4,8.3828125,9.0,13
6,6,6.6,7.0,11
6,8,5.93854748603352,7.0,8
6,10,3.4188034188034186,4.0,5
7,0,12.021052631578947,13.0,16
7,2,9.584158415841584,10.0,14
7,4,7.618421052631579,8.0,11
7,6,5.994708994708994,6.0,9
7,8,5.37037037037037,6.0,8
7,10,3.9213483146067416,4.0,6
8,1,9.443396226415095,10.0,13
8,3,7.390977443609023,8.0,11
8,5,6.467532467532467,7.0,10
8,7,7.061224489795919,8.0,9
8,9,6.722222222222222,7.0,9
8,11,5.198019801980198,5.0,7
8,13,3.911439114391144,4.0,7
8,15,4.451957295373665,5.0,6
8,17,2.3529411764705883,3.0,3
9,0,9.411764705882353,10.0,14
9,2,7.583333333333333,8.0,13
9,4,7.506666666666667,9.0,11
9,6,5.754098360655738,6.0,9
9,8,5.2633744855967075,6.0,7
9,10,5.166666666666667,5.0,8
9,12,5.276,5.0,8
9,14,5.737967914438503,6.0,9
9,16,2.152173913043478,2.0,3
10,0,9.548076923076923,10.0,15
10,2,8.758620689655173,10.0,12
10,4,6.7214285714285715,7.0,11
10,6,7.492753623188406,8.0,10
10,8,6.095505617977528,6.0,9
10,10,5.265734265734266,6.0,6
10,12,2.763157894736842,3.0,4
11,1,8.647058823529411,10.0,12
11,3,7.875,8.0,11
11,5,6.588235294117647,6.0,9
11,7,6.28643216080402,6.0,9
11,9,4.304347826086956,5.0,6
11,11,2.8380681818181817,3.0,5
11,13,4.408888888888889,4.0,8
11,15,4.40566037735849,5.0,6
11,17,3.473856209150327,3.0,6
11,19,3.389048991354467,4.0,4
12,1,9.044642857142858,9.0,16
12,3,7.368055555555555,8.0,10
12,5,5.875,6.0,9
12,7,6.149425287356322,6.0,10
12,9,5.159362549800797,6.0,7
12,11,3.8633333333333333,4.0,6
12,13,3.5985221674876846,4.0,5
12,15,3.2093023255813953,3.0,4
12,17,2.962750716332378,3.0,5
12,19,3.4353233830845773,4.0,5
12,21,2.4565217391304346,3.0,3
13,1,13.035714285714286,14.0,17
13,3,9.209302325581396,10.0,14
13,5,6.927007299270073,7.0,12
13,7,7.127167630057803,7.0,9
13,9,5.712820512820513,6.0,9
13,11,4.1661016949152545,4.0,6
13,13,3.120845921450151,3.0,6
13,15,2.803809523809524,3.0,4
13,17,3.8617283950617285,4.0,5
13,19,2.914760914760915,3.0,4
14,0,12.117021276595745,13.0,17
14,2,10.934782608695652,11.0,17
14,4,9.12396694214876,9.0,13
14,6,7.167785234899329,7.0,11
14,8,6.024896265560166,7.0,7
14,10,3.597560975609756,4.0,5
15,1,10.504424778761061,11.0,15
15,3,7.45925925925926,8.0,11
15,5,6.9,7.0,10
15,7,5.805,7.0,9
15,9,4.793577981651376,5.0,9
15,11,1.4545454545454546,1.0,3
16,0,10.741176470588234,10.0,20
16,2,15.142857142857142,17.0,20
16,4,10.98989898989899,12.0,15
16,6,7.132947976878612,8.0,10
16,8,6.783132530120482,8.0,9
16,10,6.0,6.0,8
16,12,3.386861313868613,4.0,5
17,1,8.645454545454545,9.0,13
17,3,10.008771929824562,11.0,13
17,5,6.60625,7.0,10
17,7,5.655502392344498,6.0,8
17,9,6.0710382513661205,6.0,9
17,11,5.235294117647059,6.0,8
17,13,5.0974576271186445,5.0,7
17,15,4.791139240506329,5.0,6
17,17,2.306451612903226,2.0,3
18,1,8.61344537815126,9.0,12
18,3,6.616279069767442,8.0,9
18,5,5.81283422459893,6.0,9
18,7,4.031372549019608,4.0,6
18,9,4.814345991561181,5.0,7
18,11,4.518939393939394,5.0,6
18,13,3.740740740740741,4.0,7
18,15,2.9926470588235294,3.0,4
19,1,7.925925925925926,8.0,11
19,3,7.0,7.0,12
19,5,6.947019867549669,7.0,10
19,7,5.37799043062201,6.0,8
19,9,5.0199203187251,5.0,7
19,11,3.420289855072464,4.0,4
20,1,10.16822429906542,11.0,14
20,3,8.043478260869565,9.0,11
20,5,5.793103448275862,6.0,9
20,7,6.179640718562874,6.0,9
20,9,5.577464788732394,6.0,7
20,11,3.671232876712329,4.0,6
20,13,2.5921052631578947,3.0,3
21,0,8.86259541984733,10.0,12
21,2,6.967532467532467,8.0,10
21,4,6.044943820224719,6.0,10
21,6,5.3744292237442925,6.0,9
21,8,4.625,5.0,7
21,10,6.465217391304348,7.0,9
21,12,6.268876611418048,7.0,7
21,14,3.337278106508876,4.0,4
