game,move,num_playouts,mean_num_playouts_per_node
0,1,512,8.126984126984127
0,3,513,7.656716417910448
0,5,521,6.594936708860759
0,7,516,6.45
0,9,550,4.263565891472868
0,11,551,4.479674796747967
0,13,1524,17.72093023255814
1,1,520,7.027027027027027
1,3,543,5.9021739130434785
1,5,549,4.357142857142857
1,7,527,5.27
1,9,529,5.29
1,11,528,5.443298969072165
1,13,2029,33.81666666666667
2,0,512,6.918918918918919
2,2,519,7.013513513513513
2,4,523,5.876404494382022
2,6,514,8.03125
2,8,517,6.4625
2,10,545,3.7586206896551726
2,12,550,2.5821596244131455
2,14,596,1.192
3,0,514,7.6716417910447765
3,2,521,7.136986301369863
3,4,529,5.186274509803922
3,6,534,5.184466019417476
3,8,542,4.479338842975206
3,10,543,3.9635036496350367
3,12,548,3.186046511627907
3,14,549,1.9819494584837545
3,16,554,2.60093896713615
3,18,550,4.230769230769231
4,1,497,9.94
4,3,504,7.753846153846154
4,5,508,7.9375
4,7,527,6.2
4,9,722,6.9423076923076925
5,0,523,5.282828282828283
5,2,527,5.5473684210526315
5,4,517,6.802631578947368
5,6,530,5.520833333333333
5,8,511,7.197183098591549
5,10,527,5.921348314606742
5,12,552,4.677966101694915
5,14,558,3.423312883435583
6,1,507,7.242857142857143
6,3,522,6.444444444444445
6,5,515,7.054794520547945
6,7,519,5.641304347826087
6,9,540,4.090909090909091
6,11,544,3.9420289855072466
6,13,553,3.4347826086956523
6,15,551,4.142857142857143
6,17,1423,16.741176470588236
7,0,495,10.3125
7,2,510,8.225806451612904
7,4,537,5.774193548387097
7,6,520,4.814814814814815
7,8,532,5.115384615384615
7,10,539,2.708542713567839
7,12,551,3.6733333333333333
7,14,595,3.7658227848101267
7,16,553,2.247967479674797
7,18,582,3.3641618497109826
8,0,513,6.84
8,2,508,6.958904109589041
8,4,519,7.414285714285715
8,6,517,5.681318681318682
8,8,536,4.466666666666667
8,10,538,3.684931506849315
8,12,536,3.7222222222222223
8,14,632,2.7719298245614037
8,16,543,3.9635036496350367
8,18,925,5.0
9,1,500,8.771929824561404
9,3,527,6.756410256410256
9,5,537,5.066037735849057
9,7,547,4.6752136752136755
9,9,552,3.4716981132075473
9,11,539,4.646551724137931
9,13,543,2.1377952755905514
9,15,536,4.962962962962963
10,0,507,8.047619047619047
10,2,509,8.483333333333333
10,4,524,6.313253012048193
10,6,523,5.447916666666667
10,8,1471,122.58333333333333
11,1,516,6.216867469879518
11,3,514,6.192771084337349
11,5,512,7.641791044776119
11,7,513,7.544117647058823
11,9,535,4.953703703703703
11,11,531,4.317073170731708
11,13,544,4.771929824561403
11,15,548,3.971014492753623
11,17,1372,29.19148936170213
12,0,514,6.589743589743589
12,2,517,6.011627906976744
12,4,531,5.205882352941177
12,6,538,4.045112781954887
12,8,538,3.635135135135135
12,10,539,3.6666666666666665
12,12,553,4.007246376811594
12,14,549,2.844559585492228
12,16,811,6.097744360902255
13,1,496,9.185185185185185
13,3,511,8.37704918032787
13,5,522,6.868421052631579
13,7,526,5.655913978494624
13,9,538,4.935779816513762
13,11,546,3.391304347826087
13,13,631,3.078048780487805
13,15,590,3.1550802139037435
13,17,583,3.3505747126436782
13,19,619,4.01948051948052
14,1,512,7.420289855072464
14,3,515,6.866666666666666
14,5,525,5.048076923076923
14,7,519,4.942857142857143
14,9,537,4.007462686567164
14,11,549,4.036764705882353
14,13,566,3.748344370860927
14,15,552,3.8333333333333335
15,0,519,6.569620253164557
15,2,520,6.666666666666667
15,4,530,5.888888888888889
15,6,518,5.078431372549019
15,8,525,5.645161290322581
15,10,540,5.454545454545454
15,12,551,3.532051282051282
15,14,598,2.730593607305936
15,16,542,2.7373737373737375
15,18,548,3.096045197740113
15,20,590,3.9072847682119205
16,1,509,7.712121212121212
16,3,520,6.753246753246753
16,5,527,6.057471264367816
16,7,535,4.953703703703703
16,9,534,4.643478260869565
16,11,537,4.330645161290323
16,13,545,3.978102189781022
16,15,538,4.598290598290598
17,0,509,8.627118644067796
17,2,517,7.28169014084507
17,4,515,6.518987341772152
17,6,517,6.802631578947368
17,8,510,6.986301369863014
17,10,1451,55.80769230769231
18,1,512,6.826666666666667
18,3,512,6.4
18,5,526,5.655913978494624
18,7,515,6.280487804878049
18,9,544,4.771929824561403
18,11,545,5.29126213592233
18,13,562,4.425196850393701
18,15,569,4.064285714285714
19,0,500,7.936507936507937
19,2,504,8.542372881355933
19,4,509,6.283950617283951
19,6,518,6.395061728395062
19,8,535,6.149425287356322
19,10,534,4.377049180327869
19,12,539,4.382113821138211
19,14,544,4.352
19,16,548,3.425
20,1,501,9.823529411764707
20,3,498,10.375
20,5,511,7.742424242424242
20,7,518,7.848484848484849
20,9,2861,71.525
21,1,498,8.440677966101696
21,3,515,7.152777777777778
21,5,521,5.542553191489362
21,7,522,6.214285714285714
21,9,528,5.5
21,11,602,5.472727272727273
