game,move,expl_rate
0,0,1.0
0,2,1.0
0,4,1.0
0,6,0.96875
0,8,0.8666666666666667
0,10,0.9444444444444444
1,0,0.9230769230769231
1,2,1.0
1,4,0.9285714285714286
1,6,0.8
1,8,0.8333333333333333
1,10,0.6444444444444444
2,0,0.9666666666666667
2,2,1.0
2,4,0.9629629629629631
2,6,0.8541666666666666
2,8,0.9333333333333333
2,10,0.788888888888889
2,12,0.6726190476190477
3,1,0.9666666666666667
3,3,0.9
3,5,0.9473684210526314
3,7,0.4529411764705883
4,0,0.9615384615384616
4,2,1.0
4,4,0.91875
4,6,0.8508771929824562
4,8,0.59375
4,10,1.0
5,0,1.0
5,2,1.0
5,4,1.0
5,6,0.9583333333333334
5,8,1.0
6,1,0.9615384615384616
6,3,1.0
6,5,0.85
6,7,1.0
6,9,0.9375
7,0,0.9743589743589745
7,2,0.9166666666666667
7,4,0.9666666666666667
7,6,0.9385964912280703
7,8,0.892156862745098
7,10,0.90625
7,12,0.711111111111111
8,0,0.9722222222222223
8,2,0.9791666666666666
8,4,0.8928571428571429
8,6,0.9649122807017543
8,8,0.9298245614035089
8,10,0.6538461538461539
9,1,1.0
9,3,1.0
9,5,0.9629629629629631
9,7,0.9761904761904762
9,9,0.9722222222222222
9,11,0.6458333333333334
9,13,0.6333333333333333
10,1,1.0
10,3,1.0
10,5,0.9444444444444444
10,7,0.8875
10,9,0.5245098039215685
11,1,1.0
11,3,0.9629629629629629
11,5,0.8888888888888888
11,7,1.0
11,9,0.6666666666666669
11,11,0.65
12,0,0.9444444444444443
12,2,0.9375
12,4,1.0
12,6,0.9615384615384616
12,8,0.8333333333333333
12,10,0.5138888888888888
13,1,0.9642857142857143
13,3,0.9473684210526315
13,5,0.7777777777777777
13,7,0.4588235294117648
13,9,0.4222222222222223
14,1,1.0
14,3,1.0
14,5,0.9464285714285714
14,7,0.8833333333333333
14,9,0.9583333333333334
15,0,0.8571428571428571
15,2,0.9333333333333333
15,4,0.9583333333333333
15,6,0.8229166666666667
15,8,0.8222222222222222
15,10,0.59375
15,12,0.4352941176470589
16,1,0.9038461538461539
16,3,0.9333333333333333
16,5,1.0
16,7,0.9444444444444444
16,9,0.8863636363636364
17,0,1.0
17,2,1.0
17,4,0.9285714285714286
17,6,0.9285714285714286
17,8,0.9
17,10,1.0
18,1,1.0
18,3,0.9166666666666666
18,5,0.8541666666666666
18,7,0.9333333333333333
18,9,0.9285714285714286
18,11,0.4270833333333335
19,1,1.0
19,3,1.0
19,5,0.9642857142857143
19,7,0.875
19,9,0.96
20,1,1.0
20,3,1.0
20,5,0.9
20,7,0.9230769230769231
20,9,0.9444444444444444
21,1,0.9545454545454546
21,3,1.0
21,5,0.85
21,7,0.9166666666666667
22,0,0.9583333333333334
22,2,1.0
22,4,0.8421052631578947
22,6,1.0
22,8,0.6666666666666666
22,10,0.8333333333333333
22,12,0.5566666666666668
23,0,0.9230769230769231
23,2,1.0
23,4,0.9285714285714286
23,6,1.0
23,8,0.9454545454545454
23,10,1.0
24,0,0.9333333333333333
24,2,0.9473684210526315
24,4,0.9761904761904762
24,6,0.9761904761904762
24,8,0.9833333333333332
24,10,0.6309523809523808
24,12,1.0
25,0,0.9666666666666667
25,2,0.9166666666666666
25,4,1.0
25,6,0.6041666666666666
25,8,0.6904761904761906
25,10,0.6250000000000001
26,0,0.8928571428571429
26,2,0.9642857142857143
26,4,0.9117647058823529
26,6,0.9473684210526317
26,8,0.9444444444444444
26,10,0.9166666666666666
26,12,0.4470588235294119
27,0,0.9615384615384616
27,2,1.0
27,4,0.9642857142857143
27,6,0.95
27,8,1.0
28,1,0.9761904761904762
28,3,0.9375
28,5,0.95
28,7,0.6333333333333332
28,9,0.826388888888889
29,0,0.9230769230769231
29,2,0.90625
29,4,0.925
29,6,0.8
29,8,0.59375
29,10,0.5989583333333335
30,1,0.975
30,3,0.9411764705882353
30,5,0.9666666666666668
30,7,1.0
30,9,0.503125
31,1,0.9444444444444443
31,3,0.84375
31,5,0.9861111111111112
31,7,0.9857142857142858
32,1,0.9230769230769231
32,3,0.90625
32,5,0.9411764705882353
32,7,0.9649122807017543
32,9,0.925
32,11,0.868421052631579
32,13,0.7708333333333333
33,0,1.0
33,2,0.9230769230769231
33,4,0.9523809523809524
33,6,1.0
33,8,0.8392857142857143
33,10,0.9403508771929825
33,12,0.6041666666666666
34,0,0.9230769230769231
34,2,1.0
34,4,0.9230769230769231
34,6,0.8229166666666667
34,8,0.888888888888889
34,10,0.567857142857143
35,0,0.9777777777777777
35,2,0.9411764705882353
35,4,0.9166666666666667
35,6,0.9285714285714286
35,8,0.9117647058823529
35,10,0.9454545454545454
36,0,0.8717948717948717
36,2,0.9375
36,4,0.975
36,6,0.6666666666666666
36,8,0.7986111111111112
37,0,1.0
37,2,0.9444444444444445
37,4,1.0
37,6,0.8333333333333333
37,8,0.95
37,10,0.65
37,12,0.6333333333333332
38,0,0.9333333333333333
38,2,0.9
38,4,0.95
38,6,1.0
38,8,0.9791666666666666
38,10,0.7142857142857143
39,0,1.0
39,2,1.0
39,4,0.9583333333333334
39,6,0.8823529411764707
39,8,0.47058823529411764
40,1,0.8974358974358974
40,3,0.9411764705882353
40,5,0.9411764705882353
40,7,1.0
40,9,0.6461538461538461
41,0,0.975
41,2,0.9722222222222222
41,4,0.8771929824561404
41,6,0.9791666666666666
41,8,0.881578947368421
41,10,0.43333333333333335
42,1,1.0
42,3,0.9375
42,5,0.9333333333333333
42,7,0.8333333333333333
42,9,0.854251012145749
42,11,0.9375
42,13,0.6848484848484849
43,0,1.0
43,2,0.9285714285714286
43,4,0.9736842105263158
43,6,0.8333333333333333
43,8,0.9747899159663864
43,10,0.881578947368421
44,0,1.0
44,2,0.96875
44,4,0.875
44,6,0.9166666666666666
44,8,0.8266666666666665
44,10,0.925
45,0,1.0
45,2,0.9444444444444445
45,4,0.9230769230769231
45,6,1.0
45,8,0.925
45,10,0.9305555555555556
45,12,0.6138888888888889
46,0,0.9230769230769231
46,2,0.9555555555555555
46,4,1.0
46,6,0.9666666666666667
46,8,0.9814814814814815
46,10,0.9342105263157895
46,12,0.6111111111111114
46,14,0.9333333333333333
47,0,1.0
47,2,0.9102564102564104
47,4,1.0
47,6,0.925925925925926
47,8,0.953125
47,10,0.4843750000000001
47,12,0.9090909090909091
48,0,0.9487179487179488
48,2,0.8974358974358974
48,4,0.9230769230769231
48,6,0.888888888888889
48,8,0.5714285714285714
48,10,0.95
49,1,0.9111111111111111
49,3,0.9333333333333333
49,5,1.0
49,7,0.5989583333333333
50,1,1.0
50,3,1.0
50,5,0.9210526315789473
50,7,0.4026315789473685
51,1,1.0
51,3,0.9642857142857143
51,5,0.9333333333333333
51,7,1.0
51,9,0.7999999999999999
52,0,0.9722222222222223
52,2,0.9375
52,4,0.9629629629629631
52,6,0.9705882352941176
52,8,0.8125
52,10,0.7708333333333334
52,12,0.578125
53,1,0.9444444444444443
53,3,0.8541666666666666
53,5,0.8888888888888888
53,7,0.9736842105263158
53,9,0.9666666666666668
54,1,0.9615384615384616
54,3,1.0
54,5,1.0
54,7,0.8823529411764707
54,9,0.578125
54,11,0.5294117647058824
55,1,1.0
55,3,0.9733333333333333
55,5,0.8859649122807017
55,7,1.0
55,9,0.8854166666666666
56,0,0.9523809523809524
56,2,0.9333333333333333
56,4,0.875
56,6,0.95
56,8,0.7321428571428571
56,10,0.4222222222222223
57,0,1.0
57,2,1.0
57,4,1.0
57,6,0.9523809523809524
57,8,0.875
57,10,0.9444444444444444
58,1,1.0
58,3,1.0
58,5,0.9777777777777779
58,7,0.875
58,9,0.7777777777777779
58,11,0.9647058823529411
58,13,0.6499999999999999
59,0,0.8928571428571429
59,2,0.9333333333333333
59,4,0.9333333333333333
59,6,0.8472222222222222
59,8,0.448888888888889
60,1,1.0
60,3,0.868421052631579
60,5,0.875
60,7,0.8958333333333333
60,9,1.0
60,11,0.4906250000000001
61,0,0.9333333333333333
61,2,0.9411764705882353
61,4,1.0
61,6,0.6777777777777779
61,8,0.8090909090909091
62,0,0.9117647058823529
62,2,0.9019607843137255
62,4,0.9411764705882353
62,6,0.9298245614035089
62,8,0.96875
62,10,0.9285714285714286
63,0,1.0
63,2,0.8928571428571429
63,4,0.873015873015873
63,6,0.9404761904761906
63,8,0.9555555555555555
63,10,1.0
64,0,1.0
64,2,0.84375
64,4,0.9736842105263158
64,6,0.5735294117647061
64,8,0.5231481481481481
64,10,0.611111111111111
65,1,0.9666666666666667
65,3,0.9705882352941176
65,5,1.0
65,7,0.9411764705882353
65,9,0.9454545454545454
66,1,1.0
66,3,0.90625
66,5,0.9666666666666667
66,7,0.90625
67,0,0.9333333333333333
67,2,0.9642857142857143
67,4,1.0
67,6,0.9333333333333333
67,8,0.9578947368421052
67,10,0.9166666666666666
67,12,0.38235294117647056
68,1,0.9743589743589743
68,3,0.9642857142857143
68,5,0.9625
68,7,0.9444444444444444
69,1,0.9166666666666666
69,3,0.9117647058823529
69,5,0.9649122807017545
69,7,0.534313725490196
69,9,0.4222222222222223
70,1,1.0
70,3,0.9642857142857143
70,5,1.0
70,7,0.9210526315789473
70,9,0.9166666666666666
71,1,1.0
71,3,0.9666666666666667
71,5,0.9479166666666666
71,7,0.9117647058823529
71,9,0.9
72,1,0.9444444444444445
72,3,0.9047619047619049
72,5,0.9166666666666666
72,7,0.9411764705882353
73,0,0.9523809523809524
73,2,0.9761904761904763
73,4,0.8777777777777778
73,6,0.9852941176470589
73,8,0.725
73,10,0.9772727272727273
74,1,0.8717948717948717
74,3,1.0
74,5,0.9166666666666667
74,7,0.975
74,9,0.6296296296296298
74,11,0.6035714285714285
75,1,1.0
75,3,0.9375
75,5,0.8650793650793651
75,7,0.6249999999999999
76,1,0.9642857142857143
76,3,0.9583333333333334
76,5,0.9555555555555555
76,7,0.4026315789473685
77,0,0.9333333333333333
77,2,1.0
77,4,0.8157894736842105
77,6,0.9210526315789473
77,8,0.9777777777777777
77,10,1.0
78,1,0.9333333333333333
78,3,0.9166666666666666
78,5,0.6041666666666667
78,7,0.638888888888889
78,9,1.0
78,11,0.6250000000000001
79,1,1.0
79,3,0.9583333333333334
79,5,1.0
79,7,0.8947368421052632
79,9,1.0
79,11,0.9
80,0,0.9230769230769231
80,2,0.9487179487179488
80,4,0.9411764705882352
80,6,0.8842105263157893
80,8,0.9833333333333333
80,10,0.7666666666666665
81,1,0.9722222222222222
81,3,0.9333333333333333
81,5,0.9444444444444444
81,7,0.7142857142857143
81,9,0.8035714285714286
82,1,1.0
82,3,0.9411764705882353
82,5,0.95
82,7,1.0
83,1,1.0
83,3,0.9649122807017545
83,5,1.0
83,7,0.6228070175438597
83,9,0.5490196078431373
83,11,0.5
84,1,0.9375
84,3,0.9513888888888888
84,5,0.8928571428571429
84,7,0.9215686274509803
84,9,0.8627450980392156
84,11,0.4937500000000001
85,1,0.9230769230769231
85,3,0.9166666666666666
85,5,0.8703703703703705
85,7,0.6444444444444445
86,0,0.8717948717948717
86,2,0.9375
86,4,0.9736842105263158
86,6,0.9166666666666666
86,8,0.6093750000000001
86,10,0.7142857142857143
87,1,1.0
87,3,0.9615384615384616
87,5,0.9411764705882353
87,7,0.9210526315789473
87,9,0.9583333333333334
87,11,0.5833333333333334
88,0,1.0
88,2,1.0
88,4,0.9523809523809523
88,6,0.7678571428571429
88,8,1.0
