game,move,mean,median,max
0,1,4.473684210526316,5.0,8
0,3,3.391304347826087,4.0,6
0,5,2.6551724137931036,3.0,5
0,7,3.5555555555555554,4.0,6
0,9,2.361111111111111,3.0,3
0,11,2.375,2.5,3
1,0,5.0588235294117645,6.0,8
1,2,3.36,4.0,5
1,4,3.3666666666666667,4.0,5
1,6,2.2222222222222223,2.0,3
1,8,2.1639344262295084,2.0,3
1,10,1.8059701492537314,2.0,2
2,0,4.909090909090909,5.0,7
2,2,3.6363636363636362,4.0,7
2,4,2.7096774193548385,3.0,4
2,6,1.9761904761904763,2.0,3
2,8,1.825,2.0,3
2,10,1.78125,2.0,2
2,12,1.8181818181818181,2.0,2
3,1,3.9523809523809526,4.0,7
3,3,3.24,3.0,6
3,5,2.7222222222222223,3.0,4
3,7,2.360655737704918,2.0,3
3,9,2.3448275862068964,2.5,3
3,11,2.5757575757575757,3.0,3
4,0,4.2272727272727275,4.5,7
4,2,3.652173913043478,4.0,6
4,4,2.6206896551724137,3.0,4
4,6,2.05,2.0,3
4,8,1.9090909090909092,2.0,3
4,10,2.1774193548387095,2.0,3
4,12,1.7916666666666667,2.0,3
5,0,3.652173913043478,4.0,5
5,2,3.5384615384615383,4.0,5
5,4,2.6666666666666665,3.0,4
5,6,2.6379310344827585,3.0,3
5,8,2.5306122448979593,3.0,3
6,0,3.95,4.0,7
6,2,5.5625,6.0,9
6,4,4.45,5.0,7
6,6,3.782608695652174,4.0,6
6,8,2.6666666666666665,3.0,4
6,10,2.635135135135135,3.0,3
6,12,2.357142857142857,2.0,3
7,1,5.25,5.5,9
7,3,5.666666666666667,6.0,9
7,5,3.9523809523809526,4.0,7
7,7,3.5384615384615383,4.0,5
8,1,5.176470588235294,6.0,8
8,3,3.9523809523809526,4.0,7
8,5,3.1724137931034484,4.0,5
8,7,2.048780487804878,2.0,3
8,9,1.9534883720930232,2.0,3
9,1,5.933333333333334,7.0,10
9,3,4.095238095238095,4.0,7
9,5,3.6296296296296298,4.0,5
9,7,4.318181818181818,5.0,6
9,9,2.6666666666666665,3.0,4
9,11,2.63953488372093,3.0,3
9,13,1.8,2.0,2
10,0,4.444444444444445,5.0,7
10,2,4.888888888888889,5.0,8
10,4,3.782608695652174,4.0,6
10,6,3.264705882352941,3.0,5
10,8,3.6744186046511627,4.0,5
10,10,2.6538461538461537,3.0,3
11,0,3.95,4.0,7
11,2,5.6,6.0,8
11,4,3.2333333333333334,3.0,5
11,6,2.5135135135135136,3.0,3
11,8,2.1315789473684212,2.0,3
11,10,1.891304347826087,2.0,3
12,0,3.652173913043478,4.0,5
12,2,3.586206896551724,4.0,5
12,4,3.0344827586206895,4.0,4
12,6,2.46875,2.5,4
12,8,2.066666666666667,2.0,4
13,1,5.25,5.5,9
13,3,5.8,7.0,9
13,5,3.1724137931034484,4.0,5
13,7,2.6666666666666665,3.0,4
13,9,2.617283950617284,3.0,3
13,11,2.0,2.0,3
14,1,5.176470588235294,6.0,8
14,3,3.782608695652174,4.0,6
14,5,3.638888888888889,4.0,5
14,7,2.903225806451613,3.0,4
14,9,2.25,2.0,3
15,0,5.176470588235294,6.0,8
15,2,3.8181818181818183,4.0,6
15,4,4.318181818181818,5.0,6
15,6,2.46875,2.5,4
15,8,2.411764705882353,2.0,4
15,10,3.2916666666666665,4.0,5
16,1,4.909090909090909,5.0,7
16,3,3.4827586206896552,4.0,5
16,5,2.966666666666667,3.0,5
16,7,2.46875,2.5,4
16,9,2.1315789473684212,2.0,3
17,1,5.176470588235294,6.0,8
17,3,4.368421052631579,5.0,8
17,5,3.782608695652174,4.0,6
