przeciwnik,Player1_wins,wygrane MCTS,Player2_strategy,czas [warunek petli],mean_time_per_game,mean_num_moves,secods_per_game,time_per_move
RANDOM,4,96,MCTS,1000,0 days 00:01:39.169376000,8.68,99,11.405529953917053
AGGRESSIVE,79,21,MCTS,1000,0 days 00:01:14.152504000,6.19,74,11.954765751211633
CONTROLLING,79,21,MCTS,1000,0 days 00:01:33.048973000,8.96,93,10.379464285714283
RANDOM,7,93,MCTS,500,0 days 00:01:07.763816000,9.02,67,7.427937915742794
AGGRESSIVE,83,17,MCTS,500,0 days 00:00:46.392698000,6.15,46,7.479674796747968
CONTROLLING,94,6,MCTS,500,0 days 00:00:58.883923000,8.94,58,6.487695749440715
RANDOM,16,84,MCTS,250,0 days 00:00:45.760030000,9.69,45,4.643962848297214
AGGRESSIVE,87,13,MCTS,250,0 days 00:00:26.312260000,5.93,26,4.3844856661045535
CONTROLLING,88,12,MCTS,250,0 days 00:00:33.675100000,8.2,33,4.024390243902439
RANDOM,25,75,MCTS,100,0 days 00:00:27.292958000,9.93,27,2.7190332326283992
AGGRESSIVE,95,5,MCTS,100,0 days 00:00:14.550503000,5.88,14,2.380952380952381
CONTROLLING,91,9,MCTS,100,0 days 00:00:17.477160000,7.69,17,2.210663198959688
