game,move,mean,median,max
0,1,4.733333333333333,4.0,9
0,3,3.1666666666666665,3.5,7
0,5,1.2222222222222223,1.0,3
0,7,3.6470588235294117,4.0,8
0,9,1.8,2.0,4
0,11,3.84,4.0,10
1,0,9.451612903225806,11.0,18
1,2,1.7142857142857142,1.0,4
1,4,2.533333333333333,2.0,5
1,6,3.173076923076923,3.0,6
1,8,2.641025641025641,2.0,6
1,10,2.5324675324675323,2.0,6
2,1,1.5,1.5,3
2,3,22.182795698924732,23.0,42
2,5,1.2,1.0,2
2,7,2.736842105263158,2.0,7
2,9,1.8181818181818181,2.0,4
2,11,3.638888888888889,4.0,8
2,13,2.7142857142857144,2.0,7
2,15,2.5517241379310347,2.0,7
2,17,3.7291666666666665,3.0,10
2,19,10.0,9.0,24
2,21,7.130434782608695,6.0,17
2,23,4.086956521739131,4.0,9
2,25,8.125,8.5,17
2,27,4.217391304347826,4.0,10
3,1,2.0,2.0,4
3,3,6.958333333333333,7.0,12
3,5,7.725,8.0,16
3,7,3.6296296296296298,3.0,9
3,9,3.4,4.0,8
4,0,17.647058823529413,16.5,37
4,2,3.6666666666666665,3.5,8
4,4,2.24,2.0,5
4,6,2.3636363636363638,2.0,5
4,8,14.238095238095237,14.0,29
4,10,9.287878787878787,9.0,21
4,12,9.861702127659575,9.5,23
4,14,9.13978494623656,8.0,22
4,16,4.767441860465116,5.0,12
5,0,8.142857142857142,9.5,15
5,2,2.2222222222222223,2.0,4
5,4,1.7777777777777777,2.0,4
5,6,2.227272727272727,2.0,4
5,8,1.6153846153846154,2.0,4
5,10,3.3,3.0,7
5,12,2.654320987654321,2.0,5
5,14,2.5125,2.0,6
5,16,2.223684210526316,2.0,5
5,18,4.617021276595745,3.0,12
5,20,2.2857142857142856,2.0,5
5,22,6.2368421052631575,6.0,15
5,24,4.375,3.5,11
6,1,11.125,12.5,20
6,3,11.488372093023257,12.0,21
6,5,3.3125,3.5,8
6,7,2.9545454545454546,2.0,8
6,9,3.12,1.0,9
7,0,1.0,1.0,2
7,2,24.296,25.0,45
7,4,2.0625,2.0,4
7,6,3.606060606060606,4.0,8
7,8,1.9655172413793103,2.0,4
7,10,9.1,7.5,22
7,12,7.117647058823529,7.0,14
8,0,4.666666666666667,4.5,9
8,2,1.4,1.0,3
8,4,2.9166666666666665,3.0,6
8,6,3.2142857142857144,4.0,8
8,8,3.3333333333333335,3.0,9
9,0,1.5,1.5,3
9,2,1.4545454545454546,1.0,3
9,4,3.0454545454545454,2.0,7
9,6,4.266666666666667,5.0,8
9,8,9.043010752688172,8.0,20
9,10,16.70769230769231,16.0,39
9,12,7.130434782608695,6.0,18
9,14,4.806451612903226,5.0,12
9,16,4.9523809523809526,5.0,12
10,0,1.0,1.0,2
10,2,1.5,1.5,3
10,4,1.625,1.5,3
10,6,3.0588235294117645,4.0,6
10,8,8.076923076923077,8.0,16
10,10,3.5396825396825395,4.0,8
10,12,1.8928571428571428,2.0,4
10,14,2.36734693877551,2.0,5
10,16,4.359375,2.5,12
11,1,4.846153846153846,5.0,9
11,3,1.0,1.0,2
11,5,4.277777777777778,4.0,8
11,7,3.1538461538461537,4.0,7
11,9,2.75,2.0,8
11,11,2.8666666666666667,1.0,9
12,1,13.647058823529411,15.0,24
12,3,5.541666666666667,5.0,12
12,5,11.530303030303031,12.0,25
12,7,6.65,7.0,14
12,9,1.3571428571428572,1.0,3
12,11,6.4,6.0,15
12,13,7.410256410256411,8.0,16
12,15,3.9166666666666665,5.0,9
13,0,9.479166666666666,11.0,19
13,2,3.7777777777777777,4.5,8
13,4,2.1538461538461537,2.0,5
13,6,2.3636363636363638,2.0,5
13,8,3.918918918918919,3.0,10
13,10,3.9375,3.5,10
14,0,4.454545454545454,4.0,9
14,2,1.0,1.0,2
14,4,1.5,1.5,3
14,6,8.681818181818182,9.0,18
14,8,6.717391304347826,6.5,15
15,0,1.4,1.0,3
15,2,1.8,2.0,4
15,4,9.923076923076923,10.0,18
15,6,3.40625,2.5,8
15,8,17.094488188976378,19.0,36
15,10,1.3571428571428572,1.0,3
15,12,3.475,4.0,8
15,14,2.9615384615384617,2.0,9
15,16,7.67741935483871,9.0,16
15,18,4.2272727272727275,4.5,9
16,0,3.125,3.5,6
16,2,6.318181818181818,6.5,13
16,4,3.4166666666666665,3.5,7
16,6,1.8571428571428572,2.0,4
16,8,3.92,5.0,7
16,10,3.857142857142857,4.0,9
16,12,4.333333333333333,4.0,10
17,1,1.3333333333333333,1.0,3
17,3,1.6428571428571428,1.5,3
17,5,1.2857142857142858,1.0,3
17,7,3.16,4.0,8
17,9,3.8536585365853657,2.0,11
18,0,1.0,1.0,2
18,2,1.4444444444444444,1.0,3
18,4,27.494318181818183,28.0,55
18,6,4.071428571428571,5.0,9
18,8,8.573333333333334,9.0,18
18,10,2.2452830188679247,2.0,5
18,12,1.1904761904761905,1.0,3
19,1,4.916666666666667,5.5,9
19,3,2.8181818181818183,3.0,6
19,5,3.642857142857143,4.5,7
19,7,9.333333333333334,9.5,18
19,9,2.7142857142857144,3.0,5
19,11,3.6744186046511627,2.0,10
19,13,5.5,4.0,12
19,15,3.5555555555555554,2.0,11
